time,x,y,v
0.00,74.45,156.07,43.64
0.02,73.64,156.76,54.78
0.03,72.79,157.48,76.34
0.05,71.97,158.17,76.84
0.07,71.12,158.89,65.28
0.08,70.30,159.59,65.76
0.10,69.45,160.31,76.34
0.12,68.63,161.00,66.06
0.14,67.78,161.73,65.77
0.15,66.95,162.43,77.62
0.17,66.09,163.16,77.34
0.19,65.26,163.86,66.98
0.20,64.40,164.59,66.62
0.22,63.57,165.30,78.32
0.24,62.70,166.03,66.76
0.26,61.87,166.74,67.26
0.27,61.01,167.47,77.90
0.29,60.17,168.18,78.40
0.31,59.30,168.92,66.84
0.32,58.46,169.63,78.83
0.34,57.59,170.37,78.48
0.36,56.75,171.08,67.98
0.37,55.87,171.82,67.62
0.39,55.03,172.54,79.75
0.41,54.15,173.28,67.89
0.43,53.31,174.00,68.46
0.44,52.43,174.75,79.25
0.46,51.58,175.47,79.74
0.48,50.69,176.22,67.90
0.49,49.84,176.94,80.04
0.51,48.96,177.69,79.54
0.53,48.10,178.42,68.96
0.54,47.21,179.17,68.68
0.56,46.36,179.89,80.96
0.58,45.47,180.65,68.96
0.60,44.61,181.38,69.53
0.61,43.71,182.14,80.54
0.63,42.85,182.87,81.10
0.65,41.96,183.63,68.82
0.66,41.09,184.36,81.23
0.68,40.19,185.13,81.12
0.70,39.33,185.86,70.02
0.71,38.43,186.63,69.78
0.73,37.53,187.36,81.96
0.75,36.61,188.07,69.82
0.77,35.67,188.75,69.88
0.78,34.70,189.41,81.25
0.80,33.72,190.02,81.18
0.82,32.71,190.60,69.23
0.83,31.69,191.13,80.61
0.85,30.65,191.63,80.38
0.87,29.59,192.08,68.78
0.88,28.52,192.49,68.69
0.90,27.44,192.86,79.84
0.92,26.35,193.19,68.19
0.94,25.24,193.47,68.06
0.95,24.13,193.70,79.34
0.97,23.02,193.89,79.10
0.99,21.90,194.03,67.63
1.00,20.77,194.12,78.59
1.02,19.65,194.16,78.44
1.04,18.53,194.16,66.85
1.05,17.42,194.11,66.71
1.07,16.31,194.02,77.60
1.09,15.21,193.88,66.34
1.11,14.12,193.69,66.08
1.12,13.04,193.46,76.88
1.14,11.98,193.18,76.72
1.16,10.94,192.86,65.42
1.17,9.91,192.49,76.10
1.19,8.90,192.08,75.92
1.21,7.92,191.63,64.77
1.22,6.95,191.15,75.29
1.24,6.02,190.62,75.00
1.26,5.11,190.05,64.06
1.27,4.23,189.44,64.01
1.29,3.39,188.81,74.38
1.31,2.54,188.16,63.72
1.33,1.72,187.48,63.89
1.34,0.93,186.78,74.69
1.36,0.15,186.04,74.78
1.38,-0.61,185.29,64.35
1.39,-1.37,184.53,75.10
